07:14:24.826 FINE | Run command: java -Xmx1024m -classpath /home/oraziorillo/Documents/projects/github/logist_simulation_workspace/logist/logist.jar logist.LogistPlatform -o tournament/tournament_main_vs_conservative/auction-auction_main_38-auction_conservative.xml -a tournament/tournament_main_vs_conservative/agents.xml config/auction.xml auction_main_38 auction_conservative
07:14:57.608 CONFIG | Relative marginal cost: -0.019876390605686033
07:14:57.608 CONFIG | Tentative bid: -239.33100651857276
07:14:57.608 CONFIG | Bid: 173
07:15:03.213 CONFIG | Opponent bids: 3623
07:15:03.213 CONFIG | WON AUCTION
07:15:03.213 CONFIG | 
07:15:03.214 CONFIG | Opponent bid lower bound estimate: 1405.4018388006893
07:15:08.869 CONFIG | Future diss: 0.006000473758291286
07:15:08.869 CONFIG | Task: (Task 14, 3 kg, 48501 CHF, Portsmouth -> Liverpool)
07:15:08.869 CONFIG | Marginal cost: 0.0
07:15:08.869 CONFIG | Relative marginal cost: 0.0
07:15:08.870 CONFIG | Tentative bid: 0.0
07:15:08.870 CONFIG | Bid: 255
07:15:14.323 CONFIG | Opponent bids: 2293
07:15:14.324 CONFIG | WON AUCTION
07:15:14.324 CONFIG | 
07:15:14.324 CONFIG | Opponent bid lower bound estimate: 1753.5931618132386
07:15:20.096 CONFIG | Future diss: 0.006000473758291286
07:15:20.096 CONFIG | Task: (Task 15, 3 kg, 85840 CHF, Sheffield -> Liverpool)
07:15:20.293 CONFIG | Marginal cost: 0.0
07:15:20.293 CONFIG | Relative marginal cost: 0.0
07:15:20.293 CONFIG | Tentative bid: 0.0
07:15:20.293 CONFIG | Bid: 1674
07:15:28.053 CONFIG | Opponent bids: 1707
07:15:28.054 CONFIG | WON AUCTION
07:15:28.054 CONFIG | 
07:15:28.054 CONFIG | Opponent bid lower bound estimate: 940.0659992794789
07:15:35.893 CONFIG | Future diss: 0.006000473758291286
07:15:35.894 CONFIG | Task: (Task 16, 3 kg, 85088 CHF, London -> Birmingham)
07:15:35.894 CONFIG | Marginal cost: 1147.5
07:15:35.894 CONFIG | Relative marginal cost: 0.10190941385435169
07:15:35.894 CONFIG | Tentative bid: 1433.3002855256007
07:15:35.894 CONFIG | Bid: 173
07:15:45.400 CONFIG | Opponent bids: 591
07:15:45.400 CONFIG | WON AUCTION
07:15:45.400 CONFIG | 
07:15:45.400 CONFIG | Opponent bid lower bound estimate: 704.6025697191526
07:15:54.669 CONFIG | Future diss: 0.006000473758291286
07:15:54.672 CONFIG | Task: (Task 17, 3 kg, 72236 CHF, Portsmouth -> Norwich)
07:15:54.672 CONFIG | Marginal cost: -899.5
07:15:54.672 CONFIG | Relative marginal cost: -0.0868201341634091
07:15:54.672 CONFIG | Tentative bid: -1043.434003274962
07:15:54.672 CONFIG | Bid: 173
07:16:06.779 CONFIG | Opponent bids: 1854
07:16:06.780 CONFIG | WON AUCTION
07:16:06.780 CONFIG | 
07:16:06.781 CONFIG | Opponent bid lower bound estimate: 1141.5926412456301
07:16:17.018 CONFIG | Future diss: 0.006000473758291286
07:16:17.018 CONFIG | Task: (Task 18, 3 kg, 41806 CHF, Plymouth -> Norwich)
07:16:17.018 CONFIG | Marginal cost: 489.5
07:16:17.018 CONFIG | Relative marginal cost: 0.04511520737327189
07:16:17.018 CONFIG | Tentative bid: 597.8903374673583
07:16:17.018 CONFIG | Bid: 923
07:16:27.705 CONFIG | Opponent bids: 2068
07:16:27.705 CONFIG | WON AUCTION
07:16:27.705 CONFIG | 
07:16:27.705 CONFIG | Opponent bid lower bound estimate: 1642.4982020674333
07:16:42.047 CONFIG | Future diss: 0.0
07:16:42.047 CONFIG | Task: (Task 19, 3 kg, 62087 CHF, Cardiff -> Leeds)
07:16:42.047 CONFIG | Marginal cost: 0.0
07:16:42.047 CONFIG | Relative marginal cost: 0.0
07:16:42.047 CONFIG | Tentative bid: 0.0
07:16:42.047 CONFIG | Bid: 1509
07:17:21.321 CONFIG | Opponent bids: 2606
07:17:21.321 CONFIG | WON AUCTION
07:17:21.321 CONFIG | 
07:17:51.786 CONFIG | AGENT ID = 0
07:17:51.787 CONFIG | NUM TASKS WON AT AUCTION = 19
07:17:51.787 CONFIG | COST of the optimal plan = 10850.0
07:17:51.787 CONFIG | TOTAL PROFIT OF THE AGENT = 6528.0
07:17:51.789 CONFIG | 
07:17:51.827 CONFIG | AGENT ID = 1
07:17:51.827 CONFIG | NUM TASKS WON AT AUCTION = 1
07:17:51.827 CONFIG | COST of the optimal plan = 575.0
07:17:51.827 CONFIG | TOTAL PROFIT OF THE AGENT = 0.0
07:17:51.827 CONFIG | 
07:18:25.215 CONFIG | Wrote tournament/tournament_main_vs_conservative/auction-auction_main_38-auction_conservative.xml
07:18:25.245 INFO | LogistPlatform finished successfully!
07:18:25.311 FINE | Run command: java -Xmx1024m -classpath /home/oraziorillo/Documents/projects/github/logist_simulation_workspace/logist/logist.jar logist.LogistPlatform -o tournament/tournament_main_vs_conservative/auction-auction_conservative-auction_main_38.xml -a tournament/tournament_main_vs_conservative/agents.xml config/auction.xml auction_conservative auction_main_38
07:18:25.530 CONFIG | Reading config/auction.xml
07:18:25.809 CONFIG | Reading config/settings_auction.xml
07:18:25.869 CONFIG | Reading config/topology/england.xml
07:18:25.912 CONFIG | Reading tournament/tournament_main_vs_conservative/agents.xml
07:18:25.983 CONFIG | Reading config/settings_auction.xml
07:18:26.009 CONFIG | Reading config/settings_auction.xml
07:18:26.367 CONFIG | Opponent bid lower bound estimate: 0.0
07:18:26.598 CONFIG | Future diss: 0.2746641467443699
07:18:26.598 CONFIG | Task: (Task 0, 3 kg, 69479 CHF, Cardiff -> Sheffield)
07:18:26.598 CONFIG | Marginal cost: 2766.0
07:18:26.599 CONFIG | Relative marginal cost: 1.0
07:18:26.599 CONFIG | Tentative bid: 1383.0
07:18:26.599 CONFIG | Bid: 1809
07:18:26.929 CONFIG | Opponent bids: 2191
07:18:26.929 CONFIG | WON AUCTION
07:18:26.930 CONFIG | 
07:18:26.933 CONFIG | Opponent bid lower bound estimate: 2191.0
07:18:27.254 CONFIG | Future diss: 0.1491137162396225
07:18:27.254 CONFIG | Task: (Task 1, 3 kg, 47516 CHF, Manchester -> Norwich)
07:18:27.254 CONFIG | Marginal cost: 2382.0
07:18:27.254 CONFIG | Relative marginal cost: 0.4627039627039627
07:18:27.257 CONFIG | Tentative bid: 3437.0623573263665
07:18:27.257 CONFIG | Bid: 2721
07:18:27.635 CONFIG | Opponent bids: 2668
07:18:27.635 CONFIG | LOST AUCTION
07:18:27.635 CONFIG | 
07:18:27.636 CONFIG | Opponent bid lower bound estimate: 1998.4778865114527
07:18:28.176 CONFIG | Future diss: 0.23752978603583724
07:18:28.177 CONFIG | Task: (Task 2, 3 kg, 68638 CHF, Cardiff -> Manchester)
07:18:28.179 CONFIG | Marginal cost: 742.5
07:18:28.179 CONFIG | Relative marginal cost: 0.2116289012398461
07:18:28.179 CONFIG | Tentative bid: 968.6516172999752
07:18:28.179 CONFIG | Bid: 1263
07:18:28.692 CONFIG | Opponent bids: 1570
07:18:28.692 CONFIG | WON AUCTION
07:18:28.693 CONFIG | 
07:18:28.693 CONFIG | Opponent bid lower bound estimate: 1596.120954726901
07:18:29.431 CONFIG | Future diss: 0.11507106437365254
07:18:29.432 CONFIG | Task: (Task 3, 3 kg, 55553 CHF, Sheffield -> Portsmouth)
07:18:29.433 CONFIG | Marginal cost: 1438.5
07:18:29.433 CONFIG | Relative marginal cost: 0.29078229229836267
07:18:29.433 CONFIG | Tentative bid: 1936.8658864190816
07:18:29.433 CONFIG | Bid: 1492
07:18:29.773 CONFIG | Opponent bids: 1334
07:18:29.774 CONFIG | LOST AUCTION
07:18:29.774 CONFIG | 
07:18:29.774 CONFIG | Opponent bid lower bound estimate: 841.5775619360771
07:18:30.236 CONFIG | Future diss: 0.14301500550314578
07:18:30.237 CONFIG | Task: (Task 4, 3 kg, 41305 CHF, Liverpool -> Norwich)
07:18:30.425 CONFIG | Marginal cost: 1639.5
07:18:30.425 CONFIG | Relative marginal cost: 0.31847319347319347
07:18:30.425 CONFIG | Tentative bid: 2232.1245665911224
07:18:30.425 CONFIG | Bid: 1804
07:18:30.717 CONFIG | Opponent bids: 947
07:18:30.717 CONFIG | LOST AUCTION
07:18:30.717 CONFIG | 
07:18:30.718 CONFIG | Opponent bid lower bound estimate: 561.8706034180994
07:18:31.285 CONFIG | Future diss: 0.09838839487186543
07:18:31.285 CONFIG | Task: (Task 5, 3 kg, 85625 CHF, Norwich -> London)
07:18:31.285 CONFIG | Marginal cost: 0.0
07:18:31.285 CONFIG | Relative marginal cost: 0.0
07:18:31.286 CONFIG | Tentative bid: 0.0
07:18:31.286 CONFIG | Bid: 403
07:18:31.851 CONFIG | Opponent bids: 248
07:18:31.851 CONFIG | LOST AUCTION
07:18:31.851 CONFIG | 
07:18:31.851 CONFIG | Opponent bid lower bound estimate: 289.7130764341981
07:18:32.332 CONFIG | Future diss: 0.11522084559924702
07:18:32.332 CONFIG | Task: (Task 6, 3 kg, 64503 CHF, Cardiff -> London)
07:18:32.332 CONFIG | Marginal cost: 1064.5
07:18:32.332 CONFIG | Relative marginal cost: 0.23277935709599826
07:18:32.332 CONFIG | Tentative bid: 1400.4737354387312
07:18:32.332 CONFIG | Bid: 1359
